,Title,Actors,Genres,Rating,Running Time,Year,Certification,Writers
0,Game of Thrones,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey","Adventure, Drama, Fantasy, Romance",9.5,3420,2011,TV-MA,"David Benioff, D.B. Weiss"
1,American Horror Story,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson","Drama, Horror, Thriller",8.2,3600,2011,TV-MA,"Ryan Murphy, Brad Falchuk"
2,Star Trek: Discovery,"Sonequa Martin-Green, Doug Jones, Shazad Latif, Anthony Rapp",Sci-Fi,7.3,3600,2017,TV-MA,"Bryan Fuller, Alex Kurtzman"
3,Rick and Morty,"Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland","Animation, Adventure, Comedy, Sci-Fi",9.4,1320,2013,TV-14,"Dan Harmon, Justin Roiland"
4,The Gifted,"Stephen Moyer, Amy Acker, Sean Teale, Natalie Alyn Lind","Action, Fantasy, Sci-Fi",8.1,2580,2017,TV-14,"Matt Nix, Matt Nix"
5,The Flash,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","Action, Adventure, Drama, Sci-Fi",8.1,2580,2014,TV-PG,"Greg Berlanti, Geoff Johns"
6,Stranger Things,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",8.9,3300,2016,TV-14,"Matt Duffer, Matt Duffer"
7,Big Mouth,"Nick Kroll, John Mulaney, Fred Armisen, Jessi Klein","Animation, Comedy, Romance",8.2,1800,2017,TV-MA,"Jennifer Flackett, Jennifer Flackett"
8,Riverdale,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse","Crime, Drama, Mystery",7.8,2700,2017,TV-14,"Greg Berlanti, Roberto Aguirre-Sacasa"
9,Arrow,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson","Action, Adventure, Crime, Drama, Mystery, Sci-Fi",7.8,2520,2012,TV-14,"Greg Berlanti, Marc Guggenheim"
